Data S1B: List of protein abundances (copies/cell) calculated in S. cerevisiae. This table also includes information about the individual values in each experimental time-point  and the variability of measurements (CV) in both replicates.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Protein IDs,Uniprot_KB,Gene name,Protein name,protein abundance (copies /cell),,,REPLICATE-1_protein abundance (copies /cell),,,,,,,,,REPLICATE-2_protein abundance (copies /cell),,,,,,,,
YAL043C,Q01329,PTA1,Pre-tRNA-processing protein PTA1,509,21,0.04,464,1702,32,344,110,NA,530,606,1.14,211,477,30,1233,NA,NA,488,459,0.94
YAL044C,P39726,GCV3,"Glycine cleavage system H protein, mitochondrial",107178,54921,0.51,108468,133739,29665,20473,20323,870,52256,49967,0.96,348857,153968,94359,188065,76445,110899,162099,91438,0.56
YAL044W-A,Q3E793,YAL044W-A,Uncharacterized bolA-like protein YAL044W-A,2036,1035,0.51,NA,2679,602,654,828,242,1001,860,0.86,790,5684,1563,6064,NA,1252,3070,2305,0.75
YAL046C,P39724,AIM1,Altered inheritance of mitochondria protein 1,4774,1139,0.24,4807,4692,NA,1407,NA,NA,3635,1576,0.43,6399,6460,NA,4881,NA,NA,5913,731,0.12
YAL047C,P39723,SPC72,Spindle pole component SPC72,187,142,0.76,NA,NA,45,NA,NA,NA,45,0,0,NA,NA,NA,33,NA,625,329,296,0.9
YAL049C,P39721,AIM2,Protein AIM2,11227,684,0.06,745,31093,15699,11169,3577,977,10543,10687,1.01,9184,7243,15854,14614,4281,20289,11911,5485,0.46
YAL053W,P39719,FLC2,Flavin carrier protein 2,372,69,0.19,543,230,218,497,NA,25,303,193,0.64,NA,80,171,825,686,NA,441,320,0.73
YAL059W,P39715,ECM1,Shuttling pre-60S factor ECM1,19155,8456,0.44,9167,12945,6387,8098,23678,3920,10699,6418,0.6,37265,30993,18288,37591,25674,15854,27611,8497,0.31
YAL060W,P39714,BDH1,"(R,R)-butanediol dehydrogenase",5616,1316,0.23,4493,14471,607,2800,3059,372,4300,4767,1.11,8802,10584,142,11763,NA,3368,6932,4449,0.64
YAL061W,P39713,BDH2,Probable diacetyl reductase [(R)-acetoin forming] 2,1579,301,0.19,2513,1169,NA,151,NA,NA,1278,968,0.76,3075,2326,NA,241,NA,NA,1881,1199,0.64
YAL062W,P39708,GDH3,NADP-specific glutamate dehydrogenase 2,932,368,0.39,1781,1926,195,NA,NA,NA,1301,784,0.6,511,702,NA,480,NA,NA,564,98,0.17
YAR002C-A,Q05359,ERP1,Protein ERP1,12735,2194,0.17,23616,50155,3582,3085,8767,374,14930,17489,1.17,12684,14384,5754,20049,8679,1695,10541,5978,0.57
YAR002W,P39705,NUP60,Nucleoporin NUP60,20739,3053,0.15,16112,37277,9122,14289,24747,4567,17686,10748,0.61,34299,29200,19324,19740,24143,16052,23793,6273,0.26
YAR003W,P39706,SWD1,COMPASS component SWD1,561,108,0.19,NA,669,NA,NA,NA,NA,669,0,0,NA,NA,NA,453,NA,NA,453,0,0
YAR007C,P22336,RFA1,Replication factor A protein 1,11081,1433,0.13,20573,22302,7905,9096,13586,1624,12514,7227,0.58,15694,14939,7217,11091,2568,6380,9648,4714,0.49
YAR014C,P27637,BUD14,Bud site selection protein 14,1721,383,0.22,1891,2109,1090,334,2320,279,1337,822,0.61,2591,2001,1601,2618,1293,2520,2104,516,0.25
YAR015W,P27616,ADE1,Phosphoribosylaminoimidazole-succinocarboxamide synthase,85410,5201,0.06,103383,199614,51645,76228,46499,3886,80209,61357,0.76,155020,173395,68506,58972,25703,62069,90611,54036,0.6
YAR019C,P27636,CDC15,Cell division control protein 15,1053,532,0.51,NA,1585,NA,NA,NA,NA,1585,0,0,406,120,1036,NA,NA,NA,521,382,0.73
YAR042W,P35845,SWH1,Oxysterol-binding protein homolog 1,578,127,0.22,418,160,255,2948,323,126,705,1008,1.43,214,558,778,253,NA,NA,451,231,0.51
YHR215W;YAR071W,P38693,PHO12,Acid phosphatase PHO12,55215,19298,0.35,45109,60570,16529,34402,53466,5424,35917,19614,0.55,61772,27515,100870,46167,106762,103991,74513,31033,0.42
YBL001C,P35195,ECM15,UPF0045 protein ECM15,18022,239,0.01,24938,38203,15624,2807,9730,NA,18260,12335,0.68,17336,29837,6729,38958,6323,7516,17783,12602,0.71
YDR224C;YBL002W,P02293,HTB1,Histone H2B.1,552691,5871,0.01,637889,178871,531427,584014,602503,816671,558563,191656,0.34,428991,439186,569898,521124,758962,562759,546820,109484,0.2
YDR225W;YBL003C,P04911,HTA1,Histone H2A.1,134021,13603,0.1,125605,160396,335651,90015,39594,134482,147624,92344,0.63,168848,97310,159660,155225,24454,117011,120418,49752,0.41
YBL004W,P35194,UTP20,U3 small nucleolar RNA-associated protein 20,464,20,0.04,843,1421,8,112,185,98,445,517,1.16,60,629,14,1233,NA,NA,484,496,1.02
YBL006C,P38210,LDB7,Chromatin structure-remodeling complex protein RSC14,2097,781,0.37,NA,2163,1146,933,1020,NA,1315,495,0.38,2833,1240,NA,3115,NA,4325,2878,1100,0.38
YBL007C,P32790,SLA1,Actin cytoskeleton-regulatory complex protein SLA1,12153,1344,0.11,11781,23490,6261,8641,12389,2290,10809,6611,0.61,19127,14381,11697,8290,11176,16314,13497,3563,0.26
YBL008W,P32479,HIR1,Protein HIR1,722,613,0.85,225,NA,NA,2445,NA,NA,1335,1110,0.83,NA,NA,NA,109,NA,NA,109,0,0
YBL010C,P32788,YBL010C,Uncharacterized protein YBL010C,849,147,0.17,NA,NA,NA,NA,1286,120,703,583,0.83,2289,1059,782,187,NA,663,996,705,0.71
YBL011W,P32784,SCT1,Glycerol-3-phosphate O-acyltransferase 1,474,213,0.45,NA,261,NA,NA,NA,NA,261,0,0,NA,NA,399,975,NA,NA,687,288,0.42
YBL015W,P32316,ACH1,Acetyl-CoA hydrolase,11391,97,0.01,9333,35992,8193,6264,7182,797,11293,11371,1.01,21440,10803,15159,7336,7881,6307,11488,5324,0.46
YBL017C;YNR065C,P32319,PEP1,Vacuolar protein sorting/targeting protein VPS10,2554,56,0.02,3671,8874,664,1352,1046,54,2610,3020,1.16,3226,4380,1769,4344,297,976,2499,1590,0.64
YBL018C,P38208,POP8,Ribonucleases P/MRP protein subunit POP8,949,396,0.42,NA,NA,NA,553,NA,NA,553,0,0,NA,NA,NA,629,NA,2062,1345,717,0.53
YBL022C,P36775,PIM1,"Lon protease homolog, mitochondrial",6000,319,0.05,5852,16941,4329,1511,8714,571,6320,5461,0.86,9916,8773,3625,7658,2679,1434,5681,3232,0.57
YBL023C,P29469,MCM2,DNA replication licensing factor MCM2,526,118,0.22,675,1319,98,NA,484,NA,644,441,0.69,73,231,863,467,NA,NA,408,297,0.73
YBL024W,P38205,NCL1,Multisite-specific tRNA:(cytosine-C(5))-methyltransferase,18728,2965,0.16,25132,68221,8804,13689,13076,1241,21694,21983,1.01,23385,24242,5526,30876,2670,7877,15763,10776,0.68
YBL026W,P38203,LSM2,U6 snRNA-associated Sm-like protein LSm2,9301,213,0.02,NA,15538,11178,5445,11539,1742,9088,4883,0.54,11328,19453,13009,8349,862,4086,9515,6055,0.64
YBR084C-A;YBL027W,P0CX82,RPL19A,60S ribosomal protein L19-A,978282,22740,0.02,772971,1949230,475504,876874,1453030,205642,955542,586972,0.61,895416,1132790,618577,1466380,1184770,708198,1001022,291790,0.29
YBL028C,P38202,YBL028C,UPF0642 protein YBL028C,24094,3061,0.13,15430,32532,21419,1907,50073,4838,21033,16509,0.78,28548,47245,14959,18030,44527,9622,27155,14415,0.53
YBL029C-A,Q3E756,YBL029C-A,UPF0768 protein YBL029C-A,4419,1841,0.42,NA,6260,NA,NA,NA,NA,6260,0,0,NA,2918,NA,2238,NA,NA,2578,340,0.13
YBL030C;YBR085W,P18239,PET9,"ADP,ATP carrier protein 2",104932,15844,0.15,172262,393854,30302,57155,66234,4852,120776,132834,1.1,75074,170440,38076,201338,32494,17105,89088,71182,0.8
YBL032W,P38199,HEK2,Heterogeneous nuclear rnp K-like protein 2,10098,2381,0.24,1509,12006,7862,6732,15746,2444,7716,5003,0.65,12253,11204,8372,17445,3854,21746,12479,5823,0.47
YBL033C,P38066,RIB1,GTP cyclohydrolase-2,632,291,0.46,NA,NA,133,550,NA,NA,341,208,0.61,1800,1149,524,838,NA,300,922,524,0.57
YBL034C,P38198,STU1,Protein STU1,66,15,0.22,NA,NA,NA,NA,81,NA,81,0,0,NA,NA,NA,51,NA,NA,51,0,0
YBL035C,P38121,POL12,DNA polymerase alpha subunit B,512,295,0.58,NA,174,NA,375,313,8,217,141,0.65,91,601,NA,1730,NA,NA,807,685,0.85
YBL036C,P38197,YBL036C,UPF0001 protein YBL036C,25913,4031,0.16,12562,44266,16259,23948,28542,5717,21882,12446,0.57,32234,32145,30597,38018,21717,24956,29945,5296,0.18
YBL037W,P38065,APL3,AP-2 complex subunit alpha,4368,1047,0.24,2733,13624,1436,4771,8573,1352,5415,4422,0.82,3149,2384,4183,7184,2787,234,3320,2097,0.63
YBL038W,P38064,MRPL16,"54S ribosomal protein L16, mitochondrial",601,20,0.03,NA,NA,316,697,1204,268,621,375,0.6,NA,605,NA,558,NA,NA,582,24,0.04
YBL039C,P28274,URA7,CTP synthase 1,33294,725,0.02,42896,88942,15939,20256,32153,3928,34019,27449,0.81,31387,56838,5812,80314,8503,12564,32570,27584,0.85
YBL041W,P23724,PRE7,Proteasome subunit beta type-6,16276,5799,0.36,3167,16809,21460,7081,11547,2798,10477,6902,0.66,21317,10089,11012,37264,NA,30698,22076,10693,0.48
YBL042C,P38196,FUI1,Uridine permease,367,233,0.64,859,827,112,NA,NA,NA,599,345,0.58,NA,NA,NA,134,NA,NA,134,0,0
YBL045C,P07256,COR1,"Cytochrome b-c1 complex subunit 1, mitochondrial",97823,2628,0.03,101776,205006,69910,87449,91805,15218,95194,56582,0.59,134741,122426,110502,76370,55493,103174,100451,26982,0.27
YBL046W,P38193,PSY4,Serine/threonine-protein phosphatase 4 regulatory subunit 2,207,80,0.39,NA,146,NA,109,NA,NA,128,18,0.14,NA,NA,141,304,NA,416,287,113,0.39
YBL047C,P34216,EDE1,EH domain-containing and endocytosis protein 1,38677,8109,0.21,35170,72377,16809,22553,32995,3507,30568,21451,0.7,54146,57779,48776,27133,46837,46043,46786,9711,0.21
YBL050W,P32602,SEC17,Alpha-soluble NSF attachment protein,20381,7020,0.34,15159,33486,5853,10448,13595,1624,13361,10091,0.76,26888,30866,17763,21049,6696,61140,27400,16895,0.62
YBL051C,P34217,PIN4,RNA-binding protein PIN4,3513,1276,0.36,1689,3892,1320,2167,3712,640,2237,1198,0.54,4584,5207,2757,5236,1747,9201,4789,2354,0.49
YBL054W,P34219,TOD6,Transcriptional regulatory protein TOD6,1923,954,0.5,574,1457,853,908,1624,397,969,441,0.46,3856,4820,463,3876,NA,1370,2877,1663,0.58
YBL055C,P34220,YBL055C,Deoxyribonuclease Tat-D,949,252,0.26,426,2084,117,826,NA,38,698,746,1.07,1483,2189,474,1522,NA,337,1201,698,0.58
YBL056W,P34221,PTC3,Protein phosphatase 2C homolog 3,2964,1245,0.42,2355,3531,1192,1517,1671,46,1719,1065,0.62,4390,3671,2116,5796,682,8601,4209,2548,0.61
YBL057C,P34222,PTH2,Peptidyl-tRNA hydrolase 2,5272,364,0.07,5053,14652,2702,1128,5753,156,4907,4786,0.98,4382,6224,5150,10610,NA,1813,5636,2881,0.51
YBL058W,P34223,SHP1,UBX domain-containing protein 1,36865,7529,0.2,22765,64396,27178,28627,27826,5220,29335,17613,0.6,44163,48115,44975,39785,19048,70280,44394,14989,0.34
YBL059C-A,Q3E7A4,CMC2,COX assembly mitochondrial protein 2,7946,2479,0.31,5603,18037,1460,2606,4171,930,5468,5839,1.07,22234,13682,10637,12035,2059,1904,10425,7016,0.67
YBL059W,P34224,YBL059W,Uncharacterized protein YBL059W,6910,5343,0.77,NA,12253,NA,NA,NA,NA,12253,0,0,NA,NA,NA,NA,1567,NA,1567,0,0
YBL061C,P34226,SKT5,Protein SKT5,194,80,0.41,111,NA,86,41,303,32,115,98,0.86,431,154,94,417,NA,NA,274,152,0.55
YBL064C,P34227,PRX1,Mitochondrial peroxiredoxin PRX1,13104,1569,0.12,17884,36054,7054,15543,10771,732,14673,11074,0.75,26057,11491,15262,4975,5322,6105,11535,7482,0.65
YBL066C,P34228,SEF1,Putative transcription factor SEF1,79,66,0.84,NA,NA,13,NA,NA,NA,13,0,0,329,71,NA,36,NA,NA,145,131,0.9
YBL067C,P38187,UBP13,Ubiquitin carboxyl-terminal hydrolase 13,558,36,0.06,548,983,270,NA,794,19,523,348,0.66,984,719,NA,351,NA,322,594,274,0.46
YBL068W,P38063,PRS4,Ribose-phosphate pyrophosphokinase 4,11818,1613,0.14,13629,40874,6102,8679,9448,1851,13431,12776,0.95,9463,9904,2764,21949,5473,11679,10205,6035,0.59
YBL069W;YBL068W-A,P35183,AST1,Protein AST1,748,48,0.06,NA,1404,64,800,993,240,700,491,0.7,1018,433,NA,1393,NA,341,796,431,0.54
YBL071W-A,Q3E840,KTI11,Diphthamide biosynthesis protein 3,7658,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7658,7658,0,0
YER102W;YBL072C,P0CX40,RPS8B,40S ribosomal protein S8-B,551052,38187,0.07,507955,1062840,448345,645608,692295,178395,589240,268746,0.46,769167,689561,249735,721541,278036,369150,512865,218134,0.43
YBL074C,P32357,AAR2,A1 cistron-splicing factor AAR2,522,270,0.52,NA,792,NA,NA,NA,NA,792,0,0,NA,NA,NA,252,NA,NA,252,0,0
YBL075C,P09435,SSA3,Heat shock protein SSA3,1825,1127,0.62,2457,6202,199,NA,NA,NA,2952,2475,0.84,NA,487,NA,909,NA,NA,698,211,0.3
YBL076C,P09436,ILS1,"Isoleucine--tRNA ligase, cytoplasmic",64514,1947,0.03,68298,190733,28601,47182,59203,4745,66460,59320,0.89,53594,93583,37861,102639,48326,39401,62567,25814,0.41
YBL078C,P38182,ATG8,Autophagy-related protein 8,6315,414,0.07,NA,16995,3297,2581,4043,NA,6729,5950,0.88,15564,3378,2603,6595,NA,1362,5900,5132,0.87
YBL079W,P38181,NUP170,Nucleoporin NUP170,696,339,0.49,1727,3004,159,NA,264,20,1035,1162,1.12,243,647,78,459,NA,NA,357,216,0.6
YBL081W,P38180,YBL081W,Uncharacterized protein YBL081W,325,27,0.08,NA,NA,108,NA,749,36,298,320,1.08,49,262,322,626,NA,499,352,199,0.57
YBL085W,P38041,BOI1,Protein BOB1,706,232,0.33,NA,412,176,879,771,134,474,303,0.64,1103,1287,851,951,138,1297,938,393,0.42
YBL086C,P38177,YBL086C,Uncharacterized protein YBL086C,290,138,0.48,NA,NA,NA,152,NA,NA,152,0,0,436,706,NA,142,NA,NA,428,230,0.54
YER117W;YBL087C,P0CX42,RPL23B,60S ribosomal protein L23-B,186923,905,0,149797,247775,186519,213473,262305,67094,187827,65603,0.35,329267,211865,109548,224512,70748,170167,186018,83722,0.45
YBL090W,P38175,MRP21,"37S ribosomal protein MRP21, mitochondrial",4510,232,0.05,NA,4943,2615,6563,6859,413,4278,2451,0.57,10656,6621,6859,1020,1611,1685,4742,3559,0.75
YBL091C,P38174,MAP2,Methionine aminopeptidase 2,16142,1880,0.12,21361,34456,4058,8510,15194,1992,14262,11157,0.78,25476,22085,8631,20348,3297,28293,18022,9018,0.5
YBL092W,P38061,RPL32,60S ribosomal protein L32,1458863,65080,0.04,847555,2594450,744133,1651360,2173520,351680,1393783,808530,0.58,1453280,1643350,1442790,1265360,2337470,1001410,1523943,413838,0.27
YBL093C,P25046,ROX3,Mediator of RNA polymerase II transcription subunit 19,715,213,0.3,1182,NA,157,559,NA,110,502,429,0.86,1385,NA,NA,752,NA,645,927,326,0.35
YBL097W,P38170,BRN1,Condensin complex subunit 2,515,234,0.45,199,630,166,365,290,36,281,186,0.66,72,141,NA,1117,NA,1665,749,671,0.9
YBL098W,P38169,BNA4,Kynurenine 3-monooxygenase,1700,23,0.01,2254,2573,341,NA,NA,NA,1723,986,0.57,NA,1896,NA,1459,NA,NA,1677,219,0.13
YBL099W,P07251,ATP1,"ATP synthase subunit alpha, mitochondrial",305172,33085,0.11,407324,759240,215292,292716,279425,75541,338256,212788,0.63,463742,369446,183234,266304,234991,114805,272087,115652,0.43
YBL101C,P38167,ECM21,Protein ECM21,256,6,0.02,274,550,95,81,NA,NA,250,189,0.76,405,289,NA,93,NA,NA,262,129,0.49
YBL103C,P38165,RTG3,Retrograde regulation protein 3,426,171,0.4,NA,789,154,NA,50,30,256,311,1.22,693,361,89,432,1069,936,597,339,0.57
YBL104C,P38164,SEA4,SEH-associated protein 4,709,144,0.2,806,1028,434,496,2181,172,853,653,0.77,602,1255,336,90,544,NA,565,389,0.69
YBL105C,P24583,PKC1,Protein kinase C-like 1,606,72,0.12,NA,1637,NA,104,292,NA,678,682,1.01,282,1285,169,798,NA,136,534,445,0.83
YBL107C,P38162,MIX23,Mitochondrial intermembrane space cysteine motif-containing protein MIX23,12026,9860,0.82,4890,NA,1032,NA,2498,247,2167,1768,0.82,451,2079,2345,1466,7929,117045,21886,42624,1.95
YBR001C,P35172,NTH2,Probable trehalase,197,59,0.3,NA,138,NA,NA,NA,NA,138,0,0,256,NA,NA,NA,NA,NA,256,0,0
YBR003W,P18900,COQ1,"Hexaprenyl pyrophosphate synthase, mitochondrial",1843,532,0.29,1665,3504,818,584,1265,30,1311,1107,0.84,4656,3294,619,929,NA,NA,2374,1675,0.71
YBR006W,P38067,UGA2,Succinate-semialdehyde dehydrogenase [NADP(+)],1763,263,0.15,2740,5041,585,1061,701,NA,2026,1695,0.84,2022,3661,1123,466,228,NA,1500,1247,0.83
YNL030W;YBR009C,P02309,HHF1,Histone H4,202266,31984,0.16,146879,362847,82386,200718,165139,63722,170282,98033,0.58,188930,248912,194045,233036,207727,332849,234250,48840,0.21
YNL031C;YBR010W,P61830,HHT1,Histone H3,147271,404,0,84994,309704,78365,174127,201696,37163,147675,92030,0.62,244261,232969,124654,118163,77708,83446,146867,67109,0.46
YBR011C,P00817,IPP1,Inorganic pyrophosphatase,1204619,282371,0.23,923793,1981530,566123,879601,997346,185094,922248,547686,0.59,1452820,1142200,1420850,868659,2313910,1723500,1486990,455794,0.31
YBR014C,P38068,GRX7,Monothiol glutaredoxin-7,4972,2664,0.54,12879,22115,1455,674,1060,NA,7637,8568,1.12,2640,7195,930,866,723,1493,2308,2278,0.99
YBR015C,P38069,MNN2,"Alpha-1,2-mannosyltransferase MNN2",3359,8,0,4962,8628,2153,924,3445,90,3367,2840,0.84,4105,5572,929,8075,1041,387,3351,2823,0.84
YBR016W,P38216,YBR016W,Uncharacterized protein YBR016W,11293,1281,0.11,11989,33574,1239,1055,2203,NA,10012,12468,1.25,26736,28858,4788,10244,3162,1652,12573,11103,0.88
YBR017C,P38217,KAP104,Importin subunit beta-2,1258,498,0.4,1367,6979,132,908,1110,42,1756,2385,1.36,628,1887,160,1585,190,111,760,716,0.94
YBR023C,P29465,CHS3,Chitin synthase 3,172,91,0.53,439,392,41,NA,180,NA,263,161,0.61,101,95,NA,45,NA,NA,80,25,0.31
YBR025C,P38219,OLA1,Obg-like ATPase 1,85476,11274,0.13,69143,159752,40371,75530,86984,13432,74202,45363,0.61,76872,112247,64067,174210,44132,108977,96751,42075,0.43
YBR026C,P38071,ETR1,"Enoyl-[acyl-carrier protein] reductase [NADPH, B-specific], mitochondrial",26409,1213,0.05,37391,68945,20209,19523,18052,1613,27622,21180,0.77,43145,38354,17948,19530,11686,20518,25197,11433,0.45
YBR028C,P38070,YPK3,AGC kinase YPK3,485,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485,NA,NA,485,0,0
YBR029C,P38221,CDS1,Phosphatidate cytidylyltransferase,88090,22328,0.25,77747,149582,22880,61833,71989,10542,65762,44929,0.68,86528,101614,92285,90097,206354,85636,110419,43220,0.39
YBR030W,P38222,RKM3,Ribosomal lysine N-methyltransferase 3,252,181,0.72,NA,NA,71,NA,NA,NA,71,0,0,NA,181,NA,686,NA,NA,433,252,0.58
YBR031W,P10664,RPL4A,60S ribosomal protein L4-A,1168039,55128,0.05,554926,2547560,728479,1356670,1225330,264499,1112911,742654,0.67,1535320,1139950,1493120,889734,1517850,763028,1223167,312779,0.26
YBR034C,P38074,HMT1,Protein arginine N-methyltransferase 1,11960,1427,0.12,16344,33351,7652,9200,12269,1507,13387,10001,0.75,9825,17190,4488,18252,NA,2906,10532,6310,0.6
YBR035C,P38075,PDX3,Pyridoxamine 5'-phosphate oxidase,32682,1259,0.04,23881,74227,28644,40496,31039,5356,33941,20899,0.62,56596,43897,25594,23574,15350,23528,31423,14175,0.45
YBR037C,P23833,SCO1,"Protein SCO1, mitochondrial",1181,672,0.57,4080,4011,NA,337,794,42,1853,1806,0.97,482,NA,141,904,NA,NA,509,312,0.61
YBR039W,P38077,ATP3,"ATP synthase subunit gamma, mitochondrial",105534,7023,0.07,134662,254118,63906,93539,114413,14705,112557,73977,0.66,142620,136506,101558,74080,68701,67602,98511,31197,0.32
YBR041W,P38225,FAT1,Very long-chain fatty acid transport protein,615,110,0.18,NA,1802,214,NA,158,NA,725,762,1.05,68,471,NA,978,NA,NA,505,372,0.74
YBR042C,P38226,CST26,Uncharacterized acyltransferase CST26,158,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,158,0,0
